Account Designator,Posted Date,Serial Number,Description,Amount,CR/DR,Type
E-CHECKING          ,7/31/2015,0,0.150% Dividend Deposit: 0.150%,0.12,CR,Income
E-CHECKING          ,7/31/2015,0,VISA INTERNATIONAL SERVICE ASSESSMENT Fee Withdrawal: ATM Fee,1.29,DR,Macau
E-CHECKING          ,7/31/2015,0,VISA TRAVEL Stanley Plaza Hong Kong HK ATM Withdrawal: #037954,129.02,DR,Macau
E-CHECKING          ,7/31/2015,0,VISA INTERNATIONAL SERVICE ASSESSMENT Fee Withdrawal: ATM Fee,1.29,DR,Macau
E-CHECKING          ,7/31/2015,0,VISA TRAVEL SHUN TAK CTR HONG KONG HK ATM Withdrawal: #025570,129.02,DR,Macau
E-CHECKING          ,7/31/2015,0,HOTWIRE*12217482368 844-207-0303 NV Debit Card Withdrawal: SIG DEBIT CARD,48.15,DR,Macau
E-CHECKING          ,7/29/2015,0,STATE OF MONTANA ACH Deposit: STATE OF MONTANA,424,CR,Income
E-CHECKING          ,7/28/2015,0,AMAZON.COM ACH Deposit: AMAZON.COM,36.14,CR,Misc
E-CHECKING          ,7/26/2015,0,GOOGLE *ELECTRONIC ART GOOGLE.COM/CH CA Debit Card Withdrawal: SIG DEBIT CARD,9.99,DR,Video Games
E-CHECKING          ,7/26/2015,0,GOOGLE *BIGBLUEBUBBLE GOOGLE.COM/CH CA Debit Card Withdrawal: SIG DEBIT CARD,24.99,DR,Video Games
E-CHECKING          ,7/24/2015,0,VISA INTERNATIONAL SERVICE ASSESSMENT Fee Withdrawal: ATM Fee,2.51,DR,Macau
E-CHECKING          ,7/24/2015,0,VISA TRAVEL MACAU BOC BR MACAU MB ATM Withdrawal: #064296,250.76,DR,Macau
E-CHECKING          ,7/23/2015,0,HARRAH'S HOTEL LAS VEGA LAS VEGAS NV ADJ Debit Card Withdrawal: Credit Vouche,50,CR,Income
E-CHECKING          ,7/23/2015,0,Acorns.com ACH Withdrawal: Acorns.com,9.35,DR,Investment
E-CHECKING          ,7/23/2015,0,TLG*TRVLADV89323367JUL 800-5481116 CT Debit Card Withdrawal: SIG DEBIT CARD,1,DR,Macau
E-CHECKING          ,7/23/2015,0,GOGO *INFLIGHTWIFI 877-350-0038 IL Debit Card Withdrawal: SIG DEBIT CARD,39.95,DR,Macau
E-CHECKING          ,7/22/2015,0,T3 - THE LOCAL30400709 LAS VEGAS NV Debit Card Withdrawal: SIG DEBIT CARD,32.59,DR,Eating Out
E-CHECKING          ,7/22/2015,0,HARRAH'S HOTEL LAS VEGA LAS VEGAS NV Debit Card Withdrawal: SIG DEBIT CARD,78,DR,Hotel
E-CHECKING          ,7/22/2015,0,CHARTER COMM 888-438-2427 MT Debit Card Withdrawal: SIG DEBIT CARD,39.99,DR,Internet
E-CHECKING          ,7/22/2015,0,WHITE CASTLE LAS VEGAS NV Debit Card Withdrawal: SIG DEBIT CARD,25.15,DR,Eating Out
E-CHECKING          ,7/22/2015,0,HIGH COUNTRY GIFTS AT T MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,13.95,DR,Eating Out
E-CHECKING          ,7/22/2015,0,GOGOAIR.COM 877-350-0038 IL Debit Card Withdrawal: SIG DEBIT CARD,9.95,DR,Macau
E-CHECKING          ,7/21/2015,0,NEVADA COACHES LLC LAS VEGAS NV Debit Card Withdrawal: SIG DEBIT CARD,14.5,DR,Macau
E-CHECKING          ,7/21/2015,0,Acorns.com ACH Withdrawal: Acorns.com,5.64,DR,Investment
E-CHECKING          ,7/20/2015,0,LIQUID PLANET MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,13,DR,Eating Out
E-CHECKING          ,7/20/2015,0,JIMMY JOHNS - 1526 - E 406-5481111 MT Debit Card Withdrawal: SIG DEBIT CARD,16,DR,Eating Out
E-CHECKING          ,7/20/2015,0,TACO BELL 4804 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,2.38,DR,Eating Out
E-CHECKING          ,7/20/2015,0,TACO BELL 4804 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,6.79,DR,Eating Out
E-CHECKING          ,7/20/2015,0,ALG*ALGT_TRAVEL 702-505-8888 NV Debit Card Withdrawal: SIG DEBIT CARD,65.04,DR,Macau
E-CHECKING          ,7/20/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,10,DR,Eating Out
E-CHECKING          ,7/20/2015,0,PAYPAL ACH Withdrawal: PAYPAL,25,DR,Credit Cards
E-CHECKING          ,7/19/2015,0,GOOGLE *BIGBLUEBUBBLE GOOGLE.COM/CH CA Debit Card Withdrawal: SIG DEBIT CARD,9.99,DR,Video Games
E-CHECKING          ,7/19/2015,0,HASTINGS 9680 MISSOULA MT POS Withdrawal: #011595,37.96,DR,Misc
E-CHECKING          ,7/19/2015,0,WM SUPERCENTER Wal-Mart Store MISSOULA POS Withdrawal: #049362,39.24,DR,Misc
E-CHECKING          ,7/19/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,10.71,DR,Eating Out
E-CHECKING          ,7/18/2015,0,"Check Deposit Check Received 1,800.00",1800,CR,Income
E-CHECKING          ,7/17/2015,0,ROMAINES MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,23.75,DR,Eating Out
E-CHECKING          ,7/17/2015,0,Transfer Deposit: From Share 0000,1.19,CR,Income
E-CHECKING          ,7/16/2015,106,Check Withdrawal,1400,DR,Misc
E-CHECKING          ,7/16/2015,0,Acorns.com ACH Deposit: Acorns.com,0.04,CR,Misc
E-CHECKING          ,7/16/2015,0,Acorns.com ACH Deposit: Acorns.com,0.04,CR,Misc
E-CHECKING          ,7/15/2015,0,Home Banking Transfer Deposit: From Shar,260,CR,Income
E-CHECKING          ,7/15/2015,105,Check Withdrawal,400,DR,Misc
E-CHECKING          ,7/15/2015,0,TARGET 00008854 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,203.66,DR,Misc
E-CHECKING          ,7/15/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,11.79,DR,Eating Out
E-CHECKING          ,7/14/2015,0,COSTCO WHSE #0067 MISSOULA MT POS Withdrawal: #013580,68.96,DR,Grocery
E-CHECKING          ,7/14/2015,0,WM SUPERCENTER Wal-Mart Super Center POS Withdrawal: #006250,146.58,DR,Misc
