Account Designator,Posted Date,Serial Number,"Description",Amount,CR/DR
E-CHECKING          ,09/30/15,0000000000,"0.150% Dividend Deposit: 0.150%",000000000.05,CR
E-CHECKING          ,09/30/15,0000000000,"UNIVERSITY OF MONTANA - MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000004.25,DR
E-CHECKING          ,09/30/15,0000000000,"MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #009713",000000018.30,DR
E-CHECKING          ,09/30/15,0000000000,"WENDY'S 15012 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000004.77,DR
E-CHECKING          ,09/30/15,0000000000,"MAGIC DIAMOND CASINO MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000007.49,DR
E-CHECKING          ,09/30/15,0000000000,"CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000007.85,DR
E-CHECKING          ,09/29/15,0000000000,"Acorns.com ACH Withdrawal: Acorns.com",000000006.32,DR
E-CHECKING          ,09/29/15,0000000000,"TACO DEL SOL MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000006.85,DR
E-CHECKING          ,09/28/15,0000000000,"Cash Deposit",000000050.00,CR
E-CHECKING          ,09/27/15,0000000000,"CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000014.28,DR
E-CHECKING          ,09/27/15,0000000000,"CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000002.68,DR
E-CHECKING          ,09/27/15,0000000000,"MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #020665",000000006.18,DR
E-CHECKING          ,09/27/15,0000000000,"TACO DEL SOL MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000013.40,DR
E-CHECKING          ,09/27/15,0000000000,"UNIVERSITY OF MONTANA - MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000003.75,DR
E-CHECKING          ,09/26/15,0000000000,"BEST BUY 0 2640 NORTH RESERVE MISSOULA POS Withdrawal: #049025",000000009.99,DR
E-CHECKING          ,09/26/15,0000000000,"CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000005.47,DR
E-CHECKING          ,09/26/15,0000000000,"CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000011.53,DR
E-CHECKING          ,09/26/15,0000000000,"CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000026.44,DR
