Account Designator,Posted Date,Serial Number,Description,Amount,CR/DR,Type
E-CHECKING          ,9/30/2015,0,0.150% Dividend Deposit: 0.150%,0.02,CR,Income
E-CHECKING          ,9/29/2015,0,Transfer Deposit: From Share 0001 Mobile Banking,5,CR,Income
E-CHECKING          ,9/29/2015,0,Acorns.com ACH Withdrawal: Acorns.com,11.79,DR,Investment
E-CHECKING          ,9/28/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #019353,5.28,DR,Grocery
E-CHECKING          ,9/28/2015,0,ARBYS 6631 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,6.89,DR,Eating Out
E-CHECKING          ,9/28/2015,0,NETFLIX.COM NETFLIX.COM CA Debit Card Withdrawal: SIG DEBIT CARD,7.99,DR,Netflix
E-CHECKING          ,9/28/2015,0,BURGER KING #9036 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,2.98,DR,Eating Out
E-CHECKING          ,9/27/2015,0,MCDONALD'S F10297 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,13.18,DR,Eating Out
E-CHECKING          ,9/26/2015,0,CENEX ZIP TRIP 1540 TOOLE AVE MISSOULA POS Withdrawal: #012590,4.08,DR,Eating Out
E-CHECKING          ,9/25/2015,0,MAGIC DIAMOND CASINO MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,9.68,DR,Eating Out
E-CHECKING          ,9/25/2015,0,To Share 0001 Transfer Withdrawal: To Share 0001,10,DR,Misc
E-CHECKING          ,9/25/2015,0,To Share 0000 Transfer Withdrawal: To Share 0000,10,DR,Misc
E-CHECKING          ,9/24/2015,0,MISSOULA VETERINARY CLI MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,100,DR,Misc
E-CHECKING          ,9/23/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #061902,14.23,DR,Grocery
E-CHECKING          ,9/22/2015,0,CREDIT FIRST NA ACH Withdrawal: CREDIT FIRST NA,100,DR,Credit Card
E-CHECKING          ,9/22/2015,0,CAPITAL ONE N.A. ACH Withdrawal: CAPITAL ONE N.A.,100,DR,Credit Card
E-CHECKING          ,9/22/2015,0,Acorns.com ACH Withdrawal: Acorns.com,6.15,DR,Investment
E-CHECKING          ,9/21/2015,0,MISSOULA 2 #340 318 SOUTH ORANGE ST POS Withdrawal: #000399,7.27,DR,Eating Out
E-CHECKING          ,9/21/2015,0,SUBMITTABLE.COM 8554678264 MT Debit Card Withdrawal: SIG DEBIT CARD,25,DR,Misc
E-CHECKING          ,9/21/2015,0,CAPITAL ONE ACH Withdrawal: CAPITAL ONE,50,DR,Credit Card
E-CHECKING          ,9/21/2015,0,CAPITAL ONE ACH Withdrawal: CAPITAL ONE,50,DR,Credit Card
E-CHECKING          ,9/21/2015,0,THE LIFELONG LEARNING C 406-5498765 MT Debit Card Withdrawal: SIG DEBIT CARD,24,DR,Education
E-CHECKING          ,9/20/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #016433,24.57,DR,Grocery
E-CHECKING          ,9/20/2015,0,WM SUPERCENTER Wal-Mart Store MISSOULA POS Withdrawal: #014483,35.49,DR,Misc
E-CHECKING          ,9/20/2015,0,WM SUPERCENTER Wal-Mart Store MISSOULA POS Withdrawal: #008122,8,DR,Misc
E-CHECKING          ,9/20/2015,0,PIZZA HUT #229 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,27.98,DR,Eating Out
