Account Designator,Posted Date,Serial Number,"Description",Amount,CR/DR
E-CHECKING          ,08/31/15,0000000000,"0.150% Dividend Deposit: 0.150%",000000000.07,CR
E-CHECKING          ,08/31/15,0000000000,"CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000017.32,DR
E-CHECKING          ,08/31/15,0000000000,"STATE OF MONTANA ACH Deposit: STATE OF MONTANA",000000424.00,CR
E-CHECKING          ,08/30/15,0000000000,"MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #002333",000000014.98,DR
E-CHECKING          ,08/29/15,0000000000,"SUBWAY 00100586 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000001.70,DR
E-CHECKING          ,08/29/15,0000000000,"CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000004.67,DR
E-CHECKING          ,08/29/15,0000000000,"DOCS GOURMET SANDWICH S MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000008.95,DR
E-CHECKING          ,08/28/15,0000000000,"MAGIC DIAMOND CASINO MISSOULA MT POS Withdrawal: #020649",000000009.78,DR
E-CHECKING          ,08/28/15,0000000000,"CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000002.98,DR
E-CHECKING          ,08/27/15,0000000000,"HASTINGS 9680 MISSOUL MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000006.99,DR
E-CHECKING          ,08/27/15,0000000000,"CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000006.37,DR
E-CHECKING          ,08/27/15,0000000000,"BOOK EXCHANGE NORTH MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000009.68,DR
E-CHECKING          ,08/25/15,0000000000,"RIOTGAM*LOL LN5FQWLABK 866-373-9211 CA Debit Card Withdrawal: SIG DEBIT CARD",000000035.00,DR
E-CHECKING          ,08/25/15,0000000000,"Acorns.com ACH Withdrawal: Acorns.com",000000006.30,DR
E-CHECKING          ,08/23/15,0000000000,"MAGIC DIAMOND CASINO MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000007.49,DR
E-CHECKING          ,08/22/15,0000000000,"TACO BELL 4804 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000011.98,DR
E-CHECKING          ,08/22/15,0000000000,"CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000003.68,DR
E-CHECKING          ,08/22/15,0000000000,"CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000012.94,DR
E-CHECKING          ,08/22/15,0000000000,"CHARTER COMM 888-438-2427 MT Debit Card Withdrawal: SIG DEBIT CARD",000000037.41,DR
E-CHECKING          ,08/21/15,0000000000,"OLD POST PUB MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000049.50,DR
E-CHECKING          ,08/21/15,0000000000,"MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #003667",000000020.97,DR
E-CHECKING          ,08/21/15,0000000000,"USPS 2957980812 3150 GREAT NORTHERN AVE POS Withdrawal: #010710",000000004.35,DR
E-CHECKING          ,08/21/15,0000000000,"MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #018952",000000034.27,DR
E-CHECKING          ,08/21/15,0000000000,"MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #019613",000000034.28,DR
E-CHECKING          ,08/21/15,0000000000,"CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000008.97,DR
E-CHECKING          ,08/21/15,0000000000,"TACO DEL SOL MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000007.70,DR
E-CHECKING          ,08/20/15,0000000000,"ARBYS 6631 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000017.18,DR
E-CHECKING          ,08/20/15,0000000000,"Cash Deposit Check Received 50.00",000000075.00,CR
E-CHECKING          ,08/20/15,0000000000,"CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000004.58,DR
E-CHECKING          ,08/20/15,0000000000,"PAYPAL ACH Withdrawal: PAYPAL",000000025.00,DR
E-CHECKING          ,08/19/15,0000000000,"TACO DEL SOL MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000006.90,DR
E-CHECKING          ,08/19/15,0000000000,"STATE OF MONTANA ACH Deposit: STATE OF MONTANA",000000424.00,CR
E-CHECKING          ,08/18/15,0000000000,"SQ *SWEET PEAKS ICE CRE MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000010.00,DR
E-CHECKING          ,08/18/15,0000000000,"Acorns.com ACH Withdrawal: Acorns.com",000000005.46,DR
E-CHECKING          ,08/17/15,0000000000,"A AND E MT MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000038.85,DR
E-CHECKING          ,08/17/15,0000000000,"A AND E MT MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000019.95,DR
E-CHECKING          ,08/17/15,0000000000,"LOWES #01682* MISSOULA MT ADJ Debit Card Withdrawal: Credit Vouche",000000001.96,CR
