Account Designator,Posted Date,Serial Number,Description,Amount,CR/DR,Type
E-CHECKING          ,7/31/2015,0,0.150% Dividend Deposit: 0.150%,0.02,CR,Income
E-CHECKING          ,7/31/2015,0,Acorns.com ACH Deposit: Acorns.com,0.06,CR,Misc
E-CHECKING          ,7/31/2015,0,Acorns.com ACH Deposit: Acorns.com,0.02,CR,Misc
E-CHECKING          ,7/30/2015,0,VISA INTERNATIONAL SERVICE ASSESSMENT Fee Withdrawal: ATM Fee,2.06,DR,Macau
E-CHECKING          ,7/30/2015,0,VISA TRAVEL HSBC/SHUN TAK EB(L) HONG ATM Withdrawal: #017452,206.44,DR,Macau
E-CHECKING          ,7/29/2015,0,MASTERCARD ISSUER CROSS-BORDER FEE Fee Withdrawal: ATM Fee,0.6,DR,Macau
E-CHECKING          ,7/29/2015,0,BANCO COMERCIAL BCM / TAIPA MARKET MACAU ATM Withdrawal: #004056,75.3,DR,Macau
E-CHECKING          ,7/28/2015,0,NETFLIX.COM NETFLIX.COM CA Debit Card Withdrawal: SIG DEBIT CARD,7.99,DR,Netflix
E-CHECKING          ,7/27/2015,0,GOOGLE *BIGBLUEBUBBLE GOOGLE.COM/CH CA Debit Card Withdrawal: SIG DEBIT CARD,1.99,DR,Video Games
E-CHECKING          ,7/24/2015,0,VISA INTERNATIONAL SERVICE ASSESSMENT Fee Withdrawal: ATM Fee,1.25,DR,Macau
E-CHECKING          ,7/24/2015,0,VISA TRAVEL MACAU BOC BR MACAU MB ATM Withdrawal: #064442,125.38,DR,Macau
E-CHECKING          ,7/24/2015,0,PAYPAL ACH Withdrawal: PAYPAL,410,DR,Misc
E-CHECKING          ,7/24/2015,0,Msla Vet ACH Deposit: Msla Vet,659.94,CR,Income
E-CHECKING          ,7/22/2015,0,COFFEE BEAN + TEA LEAF DES MOINES WA Debit Card Withdrawal: SIG DEBIT CARD,15.8,DR,Eating Out
E-CHECKING          ,7/21/2015,0,CAPITAL ONE N.A. ACH Deposit: CAPITAL ONE N.A.,200,CR,Credit Card
E-CHECKING          ,7/20/2015,0,REDBOX *DVDRESERVATION 866-733-2693 IL Debit Card Withdrawal: SIG DEBIT CARD,2,DR,Misc
E-CHECKING          ,7/19/2015,0,JAY'S MART MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,7.29,DR,Eating Out
E-CHECKING          ,7/18/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,9.99,DR,Eating Out
E-CHECKING          ,7/18/2015,0,JAY'S MART MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,1.49,DR,Eating Out
E-CHECKING          ,7/16/2015,0,WM SUPERCENTER Wal-Mart Super Center POS Withdrawal: #061930,6.32,DR,Misc
E-CHECKING          ,7/15/2015,0,MISSOULA T0885 2420 N Reserve St POS Withdrawal: #041870,3.45,DR,Misc
E-CHECKING          ,7/15/2015,0,MISSOULA T0885 2420 N Reserve St POS Withdrawal: #048760,15.19,DR,Misc
E-CHECKING          ,7/15/2015,0,WM SUPERCENTER Wal-Mart Super Center POS Withdrawal: #031526,32.65,DR,Misc
E-CHECKING          ,7/15/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,62.02,DR,Gas
E-CHECKING          ,7/15/2015,0,JAY'S MART MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,7.29,DR,Eating Out
E-CHECKING          ,7/14/2015,0,MISSOULA VETERINARY CLI MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,20,DR,Misc
E-CHECKING          ,7/14/2015,0,GOOGLE *TINYCO GOOGLE.COM/CH CA Debit Card Withdrawal: SIG DEBIT CARD,4.99,DR,Video Games
E-CHECKING          ,7/14/2015,0,CAPITAL ONE ACH Withdrawal: CAPITAL ONE,50,DR,Credit Card
E-CHECKING          ,7/13/2015,0,RODS - N - DOGS CAR WA MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,1,DR,Eating Out
E-CHECKING          ,7/12/2015,0,OLES COUNTRY STR #12 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,3.99,DR,Eating Out
E-CHECKING          ,7/12/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #028213,11.37,DR,Grocery
E-CHECKING          ,7/12/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #030138,41.21,DR,Grocery
E-CHECKING          ,7/10/2015,0,KIWK STOP SINCLAIR MISSOULA MT POS Withdrawal: #041943,3.95,DR,Eating Out
E-CHECKING          ,7/10/2015,0,Msla Vet ACH Deposit: Msla Vet,347.28,CR,Loan
E-CHECKING          ,7/8/2015,0,Privilege Pay Fee Withdrawal: Privilege Pay,27,DR,Bank Fee
E-CHECKING          ,7/8/2015,0,800-228-6790 ACH Withdrawal: 800-228-6790,17.85,DR,Insurance
E-CHECKING          ,7/7/2015,0,CENEX ZIP TRIP 1540 TOOLE AVE MISSOULA POS Withdrawal: #029317,10.04,DR,Eating Out
E-CHECKING          ,7/5/2015,0,STRAIGHTTALK*SERVICES 877-430-2355 FL Debit Card Withdrawal: SIG DEBIT CARD,44.17,DR,Cell Phone
E-CHECKING          ,7/4/2015,0,CAFE RIO MEXICAN GRILL MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,23.55,DR,Eating Out
E-CHECKING          ,7/4/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #024748,9,DR,Grocery
E-CHECKING          ,7/4/2015,0,CENEX ZIP TRIP 1540 TOOLE AVE MISSOULA POS Withdrawal: #006133,2.69,DR,Eating Out
E-CHECKING          ,7/3/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,20,DR,Eating Out
E-CHECKING          ,7/2/2015,0,Cash Deposit,100,CR,Income
