Account Designator,Posted Date,Serial Number,Description,Amount,CR/DR,Type
E-CHECKING          ,8/31/2015,0,0.150% Dividend Deposit: 0.150%,0.07,CR,Income
E-CHECKING          ,8/31/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,17.32,DR,Eating Out
E-CHECKING          ,8/31/2015,0,STATE OF MONTANA ACH Deposit: STATE OF MONTANA,424,CR,Income
E-CHECKING          ,8/30/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #002333,14.98,DR,Grocery
E-CHECKING          ,8/29/2015,0,SUBWAY 00100586 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,1.7,DR,Eating Out
E-CHECKING          ,8/29/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,4.67,DR,Eating Out
E-CHECKING          ,8/29/2015,0,DOCS GOURMET SANDWICH S MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,8.95,DR,Eating Out
E-CHECKING          ,8/28/2015,0,MAGIC DIAMOND CASINO MISSOULA MT POS Withdrawal: #020649,9.78,DR,Eating Out
E-CHECKING          ,8/28/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,2.98,DR,Eating Out
E-CHECKING          ,8/27/2015,0,HASTINGS 9680 MISSOUL MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,6.99,DR,Misc
E-CHECKING          ,8/27/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,6.37,DR,Eating Out
E-CHECKING          ,8/27/2015,0,BOOK EXCHANGE NORTH MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,9.68,DR,Misc
E-CHECKING          ,8/25/2015,0,RIOTGAM*LOL LN5FQWLABK 866-373-9211 CA Debit Card Withdrawal: SIG DEBIT CARD,35,DR,Video Games
E-CHECKING          ,8/25/2015,0,Acorns.com ACH Withdrawal: Acorns.com,6.3,DR,Investment
E-CHECKING          ,8/23/2015,0,MAGIC DIAMOND CASINO MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,7.49,DR,Eating Out
E-CHECKING          ,8/22/2015,0,TACO BELL 4804 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,11.98,DR,Eating Out
E-CHECKING          ,8/22/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,3.68,DR,Eating Out
E-CHECKING          ,8/22/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,12.94,DR,Eating Out
E-CHECKING          ,8/22/2015,0,CHARTER COMM 888-438-2427 MT Debit Card Withdrawal: SIG DEBIT CARD,37.41,DR,Internet
E-CHECKING          ,8/21/2015,0,OLD POST PUB MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,49.5,DR,Eating Out
E-CHECKING          ,8/21/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #003667,20.97,DR,Grocery
E-CHECKING          ,8/21/2015,0,USPS 2957980812 3150 GREAT NORTHERN AVE POS Withdrawal: #010710,4.35,DR,Misc
E-CHECKING          ,8/21/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #018952,34.27,DR,Grocery
E-CHECKING          ,8/21/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #019613,34.28,DR,Grocery
E-CHECKING          ,8/21/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,8.97,DR,Eating Out
E-CHECKING          ,8/21/2015,0,TACO DEL SOL MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,7.7,DR,Eating Out
E-CHECKING          ,8/20/2015,0,ARBYS 6631 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,17.18,DR,Eating Out
E-CHECKING          ,8/20/2015,0,Cash Deposit Check Received 50.00,75,CR,Income
E-CHECKING          ,8/20/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,4.58,DR,Eating Out
E-CHECKING          ,8/20/2015,0,PAYPAL ACH Withdrawal: PAYPAL,25,DR,Credit Cards
E-CHECKING          ,8/19/2015,0,TACO DEL SOL MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,6.9,DR,Eating Out
E-CHECKING          ,8/19/2015,0,STATE OF MONTANA ACH Deposit: STATE OF MONTANA,424,CR,Income
E-CHECKING          ,8/18/2015,0,SQ *SWEET PEAKS ICE CRE MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,10,DR,Eating Out
E-CHECKING          ,8/18/2015,0,Acorns.com ACH Withdrawal: Acorns.com,5.46,DR,Investment
E-CHECKING          ,8/17/2015,0,A AND E MT MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,38.85,DR,Misc
